ID,Text,Address,Length
0,Brownie,$064BA0,16
1,Mintmint,$064BB0,16
2,RedCap,$064BC0,16
3,Mad_Plant,$064BD0,16
4,Plant_Man,$064BE0,16
5,LiveOak,$064BF0,16
6,Slime,$064C00,16
7,Jelly,$064C10,16
8,Ooze,$064C20,16
9,Poison_Toad,$064C30,16
10,Giant_Toad,$064C40,16
11,Mad_Toad,$064C50,16
12,Basilisk,$064C60,16
13,Flazzard,$064C70,16
14,Salamand,$064C80,16
15,Sand_Worm,$064C90,16
16,Land_Worm,$064CA0,16
17,Leech,$064CB0,16
18,Skeleton,$064CC0,16
19,RedBone,$064CD0,16
20,Skuldier,$064CE0,16
21,Roc,$064CF0,16
22,Sparna,$064D00,16
23,Garuda,$064D10,16
24,Zombie,$064D20,16
25,Mummy,$064D30,16
26,Desert_Hag,$064D40,16
27,Water_Hag,$064D50,16
28,Ninja,$064D60,16
29,Shadow,$064D70,16
30,Sphinx,$064D80,16
31,Manticor,$064D90,16
32,Centaur,$064DA0,16
33,Nitemare,$064DB0,16
34,Stoney_Roost,$064DC0,16
35,Hot_Wings,$064DD0,16
36,Ghost,$064DE0,16
37,Spector,$064DF0,16
38,Gather,$064E00,16
39,Beholder,$064E10,16
40,Fangpire,$064E20,16
41,Vampire,$064E30,16
42,Mage,$064E40,16
43,Sorcerer,$064E50,16
44,Land_Turtle,$064E60,16
45,Adamant_Turtle,$064E70,16
46,Scorpion,$064E80,16
47,Snipion,$064E90,16
48,Were_Wolf,$064EA0,16
49,Cerberus,$064EB0,16
50,Edgehog,$064EC0,16
51,Sting_Rat,$064ED0,16
52,Lamia,$064EE0,16
53,Naga,$064EF0,16
54,Avizzard,$064F00,16
55,Gargoyle,$064F10,16
56,Gorgon,$064F20,16
57,Minotar_Zombie,$064F30,16
58,Phanquid,$064F40,16
59,Freezer_Crab,$064F50,16
60,Iflyte,$064F60,16
61,Stheno,$064F70,16
62,Chimera,$064F80,16
63,Thanatos,$064F90,16
64,Skullrus_Rex,$064FA0,16
65,Stone_Golem,$064FB0,16
66,Behemoth,$064FC0,16
67,Minotaur,$064FD0,16
68,Squidite,$064FE0,16
69,Snow_Crab,$064FF0,16
70,Jinn,$065000,16
71,Medusa,$065010,16
72,Gidrah,$065020,16
73,Dullahan,$065030,16
74,Flamerus_Rex,$065040,16
75,Ice_Golem,$065050,16
76,Dualhead_Hydra,$065060,16
77,Twinhead_Wyvern,$065070,16
78,Pazuzu,$065080,16
79,Zuh,$065090,16
80,Dark_King,$0650A0,16
81,DemoPlay,$0650B0,16
82,<01>,$0650C0,2
85,<4B><04>,$0650F0,3
86,Kaeli,$065100,16
88,<81>,$065120,2
90,<4C><12><64>,$065140,4
91,Tristam,$065150,16
92,<07>,$065160,2
93,<82>,$065170,2
94,<63><2E>,$065180,3
95,<4E><18><64>,$065190,4
96,Phoebe,$0651A0,16
97,<0F>,$0651B0,2
98,<83>,$0651C0,2
99,<63><26><02>,$0651D0,4
100,<52><0F><1E><46>,$0651E0,5
101,Reuben,$0651F0,16
102,<17>,$065200,2
103,<84>,$065210,2
105,<56><14><64>,$065230,4
106,Kaeli,$065240,16
107,<1F>,$065250,2
108,<85>,$065260,2
110,<5A><17><41><23>,$065280,5
111,Tristam,$065290,16
112,<17>,$0652A0,2
113,<86>,$0652B0,2
114,<63><2E>,$0652C0,3
115,<56><19><64>,$0652D0,4
116,Phoebe,$0652E0,16
117,<22>,$0652F0,2
118,<87>,$065300,2
119,<63><2D>,$065310,3
120,<5C><21><28><3C>,$065320,5
121,Reuben,$065330,16
122,<1F>,$065340,2
123,<88>,$065350,2
125,<5A><14><41><23>,$065370,5
129,<20><08>,$0653B0,3
130,<02>,$0653C0,2
147,<0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A><0A>,$0654D0,16
148,<0A><0A><0A><0A>,$0654E0,5
149,<55>,$0654F0,2
150,6<04><04>_<04>,$065500,15
151,A9<EC><02>,$065510,11
153,<02><1E><04><1E><04><1E><04>,$065530,16
154,<1E><04><62><0A><01><0A><01>,$065540,16
155,<45><1E><02><1E><02>,$065550,16
156,y<02><02><02><02><02><02><04>,$065560,16
157,<62><1E><01><1E><01>,$065570,16
158,g<1E><01><1E><01>,$065580,16
159,<67><77><02>,$065590,6
160,<68><78><68><78><68><78><78><78><78><78><78><02>,$0655A0,14
161,<69><69><69><69><69><69><69><69><69><79><69><79><69><79><79><79>,$0655B0,16
162,<79><79><79><02>,$0655C0,6
163,<6A><7A><6A><7A><6A><7A><7A><7A><7A><7A><7A><02>,$0655D0,15
164,<78><78><78><78><78><78><68><68><68><68><68><68><78><68><78><68>,$0655E0,16
165,<78><78><78><02>,$0655F0,6
166,<69><69><69><79><69><79><69><79><79><79><02>,$065600,13
167,<7A><7A><7A><7A><6A><6A><6A><6A><6A><6A><7A><6A><7A><6A><7A><7A>,$065610,16
168,<7A><7B><77><02><04><02><04><02>,$065620,12
169,<02>,$065630,2
170,<01>6<2B><01><04><01><04><09><01><08>,$065640,16
171,<01><07><01>_<01><77><0F><01><0F><01>,$065650,16
173,<05>,$065670,2
175,<6D>,$065690,2
178,<0A><0D><08><09><0A><0B><0C><0D><0E><0F><0E><0D><0C><0B><0A><09>,$0656C0,16
179,<04><0E><10><11><12><13><14><15><16>,$0656D0,16
180,<17><17><16><15><14><13><12><11>_<0E><18>,$0656E0,16
181,<19><1A><1B><1C><1D><1E><1F><1F><1E><1D><1C><1B><1A><19>,$0656F0,16
