ID,Text,Address,Length
0,SteelSword,$0642A0,12
1,KnightSword,$0642AC,12
2,Excalibur,$0642B8,12
3,Axe,$0642C4,12
4,BattleAxe,$0642D0,12
5,Giant'sAxe,$0642DC,12
6,CatClaw,$0642E8,12
7,CharmClaw,$0642F4,12
8,DragonClaw,$064300,12
9,Bomb,$06430C,12
10,JumboBomb,$064318,12
11,MegaGrenade,$064324,12
12,MorningStar,$064330,12
13,BowofGrace,$06433C,12
14,NinjaStar,$064348,12
15,SteelHelm,$064354,12
16,MoonHelm,$064360,12
17,ApolloHelm,$06436C,12
18,SteelArmor,$064378,12
19,NobleArmor,$064384,12
20,Gaia'sArmor,$064390,12
21,RelicaArmor,$06439C,12
22,MysticRobe,$0643A8,12
23,FlameArmor,$0643B4,12
24,BlackRobe,$0643C0,12
25,SteelShield,$0643CC,12
26,VenusShield,$0643D8,12
27,AegisShield,$0643E4,12
28,EtherShield,$0643F0,12
29,Charm,$0643FC,12
30,MagicRing,$064408,12
31,CupidLocket,$064414,12
32,Sword,$064420,12
33,Scimitar,$06442C,12
34,DragonCut,$064438,12
35,Rapier,$064444,12
36,Axe,$064450,12
37,Beam,$06445C,12
38,BoneMissile,$064468,12
39,Bow&Arrow,$064474,12
40,BlowDart,$064480,12
41,Cure,$06448C,12
42,Heal,$064498,12
43,Quake,$0644A4,12
44,Blizzard,$0644B0,12
45,Fire,$0644BC,12
46,Thunder,$0644C8,12
47,Reflectant,$0644D4,12
48,Electrapulse,$0644E0,12
49,PowerDrain,$0644EC,12
50,Spark,$0644F8,12
51,IronNail,$064504,12
52,Scream,$064510,12
53,Quicksand,$06451C,12
54,DoomGaze,$064528,12
55,DoomPowder,$064534,12
56,Cure,$064540,12
