ID,Text,Address,Length
0,Sword,$064420,12
1,Scimitar,$06442C,12
2,DragonCut,$064438,12
3,Rapier,$064444,12
4,Axe,$064450,12
5,Beam,$06445C,12
6,BoneMissile,$064468,12
7,Bow&Arrow,$064474,12
8,BlowDart,$064480,12
9,Cure,$06448C,12
10,Heal,$064498,12
11,Quake,$0644A4,12
12,Blizzard,$0644B0,12
13,Fire,$0644BC,12
14,Thunder,$0644C8,12
15,Reflectant,$0644D4,12
16,Electrapulse,$0644E0,12
17,PowerDrain,$0644EC,12
18,Spark,$0644F8,12
19,IronNail,$064504,12
20,Scream,$064510,12
21,Quicksand,$06451C,12
22,DoomGaze,$064528,12
23,DoomPowder,$064534,12
24,Cure,$064540,12
25,FireBreath,$06454C,12
26,Punch,$064558,12
27,Kick,$064564,12
28,Uppercut,$064570,12
29,Stab,$06457C,12
30,HeadButt,$064588,12
31,BodySlam,$064594,12
32,Scrunch,$0645A0,12
33,FullNelson,$0645AC,12
34,NeckChoke,$0645B8,12
35,Dash,$0645C4,12
36,Roundhouse,$0645D0,12
37,ChokeUp,$0645DC,12
38,StompStomp,$0645E8,12
39,MegaPunch,$0645F4,12
40,Bearhug,$064600,12
41,AxeBomber,$06460C,12
42,Piledriver,$064618,12
43,SkyAttack,$064624,12
44,Wraparound,$064630,12
45,Dive,$06463C,12
46,Attatch,$064648,12
47,Mucus,$064654,12
48,Claw,$064660,12
49,Fang,$06466C,12
50,Beak,$064678,12
51,Sting,$064684,12
52,Tail,$064690,12
53,Psudopod,$06469C,12
54,Bite,$0646A8,12
55,HydroAcid,$0646B4,12
56,Branch,$0646C0,12
57,Fin,$0646CC,12
58,Scissor,$0646D8,12
59,WhipTongue,$0646E4,12
60,Horn,$0646F0,12
61,GiantBlade,$0646FC,12
62,Headoomerang,$064708,12
63,ChewOff,$064714,12
64,Quake,$064720,12
65,Flame,$06472C,12
66,FlameSweep,$064738,12
67,Fireball,$064744,12
68,FlamePillar,$064750,12
69,Heatwave,$06475C,12
70,Watergun,$064768,12
71,Coldness,$064774,12
72,IcyFoam,$064780,12
73,IceBlock,$06478C,12
74,Snowstorm,$064798,12
75,Whirlwater,$0647A4,12
76,IceBreath,$0647B0,12
77,Tornado,$0647BC,12
78,Typhoon,$0647C8,12
79,Hurricane,$0647D4,12
80,Thunder,$0647E0,12
81,ThunderBeam,$0647EC,12
82,CorrodeGas,$0647F8,12
83,DoomDance,$064804,12
84,SonicBoom,$064810,12
85,Bark,$06481C,12
86,Screechvoice,$064828,12
87,Para-needle,$064834,12
88,Para-claw,$064840,12
89,Para-snake,$06484C,12
90,Para-breath,$064858,12
91,PoisonSting,$064864,12
92,PoisonThorn,$064870,12
93,RottenMucus,$06487C,12
94,PoisonSnake,$064888,12
95,Poisonbreath,$064894,12
96,Blinder,$0648A0,12
97,Blackness,$0648AC,12
98,StoneBeak,$0648B8,12
99,Gaze,$0648C4,12
100,Stare,$0648D0,12
101,SpookyLaugh,$0648DC,12
102,Riddle,$0648E8,12
103,BadBreath,$0648F4,12
104,BodyOdor,$064900,12
105,Para-stare,$06490C,12
106,PoisonFluid,$064918,12
107,PoisonFlour,$064924,12
108,Hypno-sleep,$064930,12
109,Lullaby,$06493C,12
110,SleepLure,$064948,12
111,SleepPowder,$064954,12
112,BlindFlash,$064960,12
113,Smokescreen,$06496C,12
114,Muffle,$064978,12
115,SilenceSong,$064984,12
116,StoneGas,$064990,12
117,StoneGaze,$06499C,12
118,DoubleSword,$0649A8,12
119,DoubleHit,$0649B4,12
120,TripleFang,$0649C0,12
121,DoubleKick,$0649CC,12
122,TwinShears,$0649D8,12
123,ThreeHeads,$0649E4,12
124,6Psudopods,$0649F0,12
125,SnakeHead,$0649FC,12
126,Drain,$064A08,12
127,Dissolve,$064A14,12
