ID,Text,Address,Length
0,Elixir,$064120,12
1,TreeWither,$06412C,12
2,Wakewater,$064138,12
3,VenusKey,$064144,12
4,Multi-Key,$064150,12
5,Mask,$06415C,12
6,MagicMirror,$064168,12
7,ThunderRock,$064174,12
8,CaptainCap,$064180,12
9,LibraCrest,$06418C,12
10,GeminiCrest,$064198,12
11,MobiusCrest,$0641A4,12
12,SandCoin,$0641B0,12
13,RiverCoin,$0641BC,12
14,SunCoin,$0641C8,12
15,SkyCoin,$0641D4,12
16,CurePotion,$0641E0,12
17,HealPotion,$0641EC,12
18,Seed,$0641F8,12
19,Refresher,$064204,12
20,Exit,$064210,12
21,Cure,$06421C,12
22,Heal,$064228,12
23,Life,$064234,12
24,Quake,$064240,12
25,Blizzard,$06424C,12
26,Fire,$064258,12
27,Aero,$064264,12
28,Thunder,$064270,12
29,White,$06427C,12
30,Meteor,$064288,12
31,Flare,$064294,12
32,SteelSword,$0642A0,12
33,KnightSword,$0642AC,12
34,Excalibur,$0642B8,12
35,Axe,$0642C4,12
36,BattleAxe,$0642D0,12
37,Giant'sAxe,$0642DC,12
38,CatClaw,$0642E8,12
39,CharmClaw,$0642F4,12
40,DragonClaw,$064300,12
41,Bomb,$06430C,12
42,JumboBomb,$064318,12
43,MegaGrenade,$064324,12
44,MorningStar,$064330,12
45,BowofGrace,$06433C,12
46,NinjaStar,$064348,12
47,SteelHelm,$064354,12
48,MoonHelm,$064360,12
49,ApolloHelm,$06436C,12
50,SteelArmor,$064378,12
51,NobleArmor,$064384,12
52,Gaia'sArmor,$064390,12
53,RelicaArmor,$06439C,12
54,MysticRobe,$0643A8,12
55,FlameArmor,$0643B4,12
56,BlackRobe,$0643C0,12
57,SteelShield,$0643CC,12
58,VenusShield,$0643D8,12
59,AegisShield,$0643E4,12
60,EtherShield,$0643F0,12
61,Charm,$0643FC,12
62,MagicRing,$064408,12
63,CupidLocket,$064414,12
64,Sword,$064420,12
65,Scimitar,$06442C,12
66,DragonCut,$064438,12
67,Rapier,$064444,12
68,Axe,$064450,12
69,Beam,$06445C,12
70,BoneMissile,$064468,12
71,Bow&Arrow,$064474,12
72,BlowDart,$064480,12
