ID,Text,Address,Length
0,World,$063ED0,16
1,FocusTower,$063EE0,16
2,HillofDestiny,$063EF0,16
3,LevelForest,$063F00,16
4,Foresta,$063F10,16
5,Kaeli'sHouse,$063F20,16
6,SandTemple,$063F30,16
7,BoneDungeon,$063F40,16
8,LibraTemple,$063F50,16
9,Aquaria,$063F60,16
10,Phoebe'sHouse,$063F70,16
11,WintryCave,$063F80,16
12,LifeTemple,$063F90,16
13,FallsBasin,$063FA0,16
14,IcePyramid,$063FB0,16
15,Spencer'sPlace,$063FC0,16
16,WintryTemple,$063FD0,16
17,Fireburg,$063FE0,16
18,Reuben'sHouse,$063FF0,16
19,Mine,$064000,16
20,SealedTemple,$064010,16
21,Volcano,$064020,16
22,LavaDome,$064030,16
23,RopeBridge,$064040,16
24,AliveForest,$064050,16
25,GiantTree,$064060,16
26,KaidgeTemple,$064070,16
27,WindholeTemple,$064080,16
28,MountGale,$064090,16
29,Windia,$0640A0,16
30,Otto'sHouse,$0640B0,16
31,Pazuzu'sTower,$0640C0,16
32,LightTemple,$0640D0,16
33,ShipDock,$0640E0,16
34,Deck,$0640F0,16
35,Mac'sShip,$064100,16
36,DoomCastle,$064110,16
