ID,Text,Address,Length
0,Exit,$064210,12
1,Cure,$06421C,12
2,Heal,$064228,12
3,Life,$064234,12
4,Quake,$064240,12
5,Blizzard,$06424C,12
6,Fire,$064258,12
7,Aero,$064264,12
8,Thunder,$064270,12
9,White,$06427C,12
10,Meteor,$064288,12
11,Flare,$064294,12
12,SteelSword,$0642A0,12
13,KnightSword,$0642AC,12
14,Excalibur,$0642B8,12
15,Axe,$0642C4,12
16,BattleAxe,$0642D0,12
17,Giant'sAxe,$0642DC,12
18,CatClaw,$0642E8,12
19,CharmClaw,$0642F4,12
20,DragonClaw,$064300,12
21,Bomb,$06430C,12
22,JumboBomb,$064318,12
23,MegaGrenade,$064324,12
24,MorningStar,$064330,12
25,BowofGrace,$06433C,12
26,NinjaStar,$064348,12
27,SteelHelm,$064354,12
28,MoonHelm,$064360,12
29,ApolloHelm,$06436C,12
30,SteelArmor,$064378,12
31,NobleArmor,$064384,12
