2100,SNES_INIDISP
2101,SNES_OBJSEL
2102,SNES_OAMADDL
2103,SNES_OAMADDH
2104,SNES_OAMDATA
2105,SNES_BGMODE
2106,SNES_MOSAIC
2107,SNES_BG1SC
2108,SNES_BG2SC
2109,SNES_BG3SC
210A,SNES_BG4SC
210B,SNES_BG12NBA
210C,SNES_BG34NBA
210D,SNES_BG1HOFS
210E,SNES_BG1VOFS
210F,SNES_BG2HOFS
2110,SNES_BG2VOFS
2111,SNES_BG3HOFS
2112,SNES_BG3VOFS
2113,SNES_BG4HOFS
2114,SNES_BG4VOFS
2115,SNES_VMAINC
2116,SNES_VMADDL
2117,SNES_VMADDH
2118,SNES_VMDATAL
2119,SNES_VMDATAH
211A,SNES_M7SEL
211B,SNES_M7A
211C,SNES_M7B
211D,SNES_M7C
211E,SNES_M7D
211F,SNES_M7X
2120,SNES_M7Y
2121,SNES_CGADD
2122,SNES_CGDATA
2123,SNES_W12SEL
2124,SNES_W34SEL
2125,SNES_WOBJSEL
2126,SNES_WH0
2127,SNES_WH1
2128,SNES_WH2
2129,SNES_WH3
212A,SNES_WBGLOG
212B,SNES_WOBJLOG
212C,SNES_TM
212D,SNES_TS
212E,SNES_TMW
212F,SNES_TSW
2130,SNES_CGSWSEL
2131,SNES_CGADSUB
2132,SNES_COLDATA
2133,SNES_SETINI
2134,SNES_MPYL
2135,SNES_MPYM
2136,SNES_MPYH
2137,SNES_SLHV
2138,SNES_ROAMDATA
2139,SNES_RVMDATAL
213A,SNES_RVMDATAH
213B,SNES_RCGDATA
213C,SNES_OPHCT
213D,SNES_OPVCT
213E,SNES_STAT77
213F,SNES_STAT78
2140,SNES_APUIO0
2141,SNES_APUIO1
2142,SNES_APUIO2
2143,SNES_APUIO3
2180,SNES_WMDATA
2181,SNES_WMADDL
2182,SNES_WMADDM
2183,SNES_WMADDH
4016,SNES_JOY1
4017,SNES_JOY2
4200,SNES_NMITIMEN
4201,SNES_WRIO
4202,SNES_WRMPYA
4203,SNES_WRMPYB
4204,SNES_WRDIVL
4205,SNES_WRDIVH
4206,SNES_WRDIVB
4207,SNES_HTIMEL
4208,SNES_HTIMEH
4209,SNES_VTIMEL
420A,SNES_VTIMEH
420B,SNES_MDMAEN
420C,SNES_HDMAEN
420D,SNES_MEMSEL
4210,SNES_RDNMI
4211,SNES_TIMEUP
4212,SNES_HVBJOY
4213,SNES_RDIO
4214,SNES_RDDIVL
4215,SNES_RDDIVH
4216,SNES_RDMPYL
4217,SNES_RDMPYH
4218,SNES_CNTRL1L
4219,SNES_CNTRL1H
421A,SNES_CNTRL2L
421B,SNES_CNTRL2H
421C,SNES_CNTRL3L
421D,SNES_CNTRL3H
421E,SNES_CNTRL4L
421F,SNES_CNTRL4H
4300,SNES_DMA0PARAM
4301,SNES_DMA0REG
4302,SNES_DMA0ADDRL
4303,SNES_DMA0ADDRM
4304,SNES_DMA0ADDRH
4305,SNES_DMA0CNTL
4306,SNES_DMA0CNTH
4307,SNES_HDMA0BANK
4308,SNES_DMA0IDXL
4309,SNES_DMA0IDXH
430A,SNES_HDMA0LINES
4310,SNES_DMA1PARAM
4311,SNES_DMA1REG
4312,SNES_DMA1ADDRL
4313,SNES_DMA1ADDRM
4314,SNES_DMA1ADDRH
4315,SNES_DMA1CNTL
4316,SNES_DMA1CNTH
4317,SNES_HDMA1BANK
4318,SNES_DMA1IDXL
4319,SNES_DMA1IDXH
431A,SNES_HDMA1LINES
4320,SNES_DMA2PARAM
4321,SNES_DMA2REG
4322,SNES_DMA2ADDRL
4323,SNES_DMA2ADDRM
4324,SNES_DMA2ADDRH
4325,SNES_DMA2CNTL
4326,SNES_DMA2CNTH
4327,SNES_HDMA2BANK
4328,SNES_DMA2IDXL
4329,SNES_DMA2IDXH
432A,SNES_HDMA2LINES
4330,SNES_DMA3PARAM
4331,SNES_DMA3REG
4332,SNES_DMA3ADDRL
4333,SNES_DMA3ADDRM
4334,SNES_DMA3ADDRH
4335,SNES_DMA3CNTL
4336,SNES_DMA3CNTH
4337,SNES_HDMA3BANK
4338,SNES_DMA3IDXL
4339,SNES_DMA3IDXH
433A,SNES_HDMA3LINES
4340,SNES_DMA4PARAM
4341,SNES_DMA4REG
4342,SNES_DMA4ADDRL
4343,SNES_DMA4ADDRM
4344,SNES_DMA4ADDRH
4345,SNES_DMA4CNTL
4346,SNES_DMA4CNTH
4347,SNES_HDMA4BANK
4348,SNES_DMA4IDXL
4349,SNES_DMA4IDXH
434A,SNES_HDMA4LINES
4350,SNES_DMA5PARAM
4351,SNES_DMA5REG
4352,SNES_DMA5ADDRL
4353,SNES_DMA5ADDRM
4354,SNES_DMA5ADDRH
4355,SNES_DMA5CNTL
4356,SNES_DMA5CNTH
4357,SNES_HDMA5BANK
4358,SNES_DMA5IDXL
4359,SNES_DMA5IDXH
435A,SNES_HDMA5LINES
4360,SNES_DMA6PARAM
4361,SNES_DMA6REG
4362,SNES_DMA6ADDRL
4363,SNES_DMA6ADDRM
4364,SNES_DMA6ADDRH
4365,SNES_DMA6CNTL
4366,SNES_DMA6CNTH
4367,SNES_HDMA6BANK
4368,SNES_DMA6IDXL
4369,SNES_DMA6IDXH
436A,SNES_HDMA6LINES
4370,SNES_DMA7PARAM
4371,SNES_DMA7REG
4372,SNES_DMA7ADDRL
4373,SNES_DMA7ADDRM
4374,SNES_DMA7ADDRH
4375,SNES_DMA7CNTL
4376,SNES_DMA7CNTH
4377,SNES_HDMA7BANK
4378,SNES_DMA7IDXL
4379,SNES_DMA7IDXH
437A,SNES_HDMA7LINES
