Address,Label,Type,Comment
$000E,temp_byte_4,WRAM,"Temporary byte storage 4 (text engine usage)"
$0010,graphics_ptr_lo,WRAM,"Graphics system pointer (low byte)"
$0011,graphics_ptr_hi,WRAM,"Graphics system pointer (high byte)"
$0012,text_ptr_lo,WRAM,"Text system pointer (low byte)"
$0013,text_ptr_hi,WRAM,"Text system pointer (high byte)"
$0014,temp_byte_5,WRAM,"Temporary byte storage 5"
$0E89,tilemap_index,WRAM,"Tilemap indexing variable"
$0E91,tilemap_counter,WRAM,"Tilemap operation counter"
$0E9C,menu_color_lo,WRAM,"Menu color setting (low byte)"
$0E9D,menu_color_hi,WRAM,"Menu color setting (high byte)"
$06BF,wram_data_ptr,WRAM,"WRAM data pointer/offset"
$0B83,rom_function_ptr,WRAM,"ROM function pointer base"
$19EE,graphics_temp_1,WRAM,"Graphics temporary variable 1"
$1A3D,graphics_flags,WRAM,"Graphics system flags"
$1A45,sprite_control,WRAM,"Sprite control variable"
$1A3B,bg_control,WRAM,"Background control flags"
$1A2F,dma_offset,WRAM,"DMA transfer offset"
$1A55,layer_flags,WRAM,"Layer enable/disable flags"
