"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$0000","WRAM","Zero Page (Direct Page)","60","Critical","var_0000","bank_00_documented.asm:LDA $0000; bank_00_documented.asm:LDA $0000; bank_00_documented.asm:ORA $0000"
"$420B","Hardware","CPU Registers/DMA/PPU","26","High","MDMAEN","graphics_engine_historical.asm:sta $420b; graphics_engine_historical.asm:sta $420b; graphics_engine_historical.asm:sta $420b"
"$2116","PPU","PPU Registers","20","High","VMADDL","graphics_engine_historical.asm:sty $2116; graphics_engine_historical.asm:sty $2116; graphics_engine_historical.asm:stx $2116"
"$4305","Hardware","CPU Registers/DMA/PPU","18","High","hw_4305","graphics_engine_historical.asm:sty $4305; graphics_engine_historical.asm:sty $4305; graphics_engine_historical.asm:sty $4305"
"$4302","Hardware","CPU Registers/DMA/PPU","16","High","hw_4302","graphics_engine_historical.asm:sty $4302; graphics_engine_historical.asm:sty $4302; graphics_engine_historical.asm:sty $4302"
"$4300","Hardware","CPU Registers/DMA/PPU","16","High","hw_4300","graphics_engine_historical.asm:sty $4300; graphics_engine_historical.asm:sty $4300; graphics_engine_historical.asm:sty $4300"
"$4304","Hardware","CPU Registers/DMA/PPU","14","High","hw_4304","graphics_engine_historical.asm:sta $4304; graphics_engine_historical.asm:sta $4304; graphics_engine_historical.asm:sta $4304"
"$2115","PPU","PPU Registers","14","High","VMAIN","graphics_engine_historical.asm:sta $2115; graphics_engine_historical.asm:sta $2115; graphics_engine_historical.asm:sta $2115"
"$0001","WRAM","Zero Page (Direct Page)","19","Medium","var_0001","graphics_engine_historical.asm:lda $0001; graphics_engine_historical.asm:lda $0001; graphics_engine_historical.asm:lda $0001"
"$0010","WRAM","Zero Page (Direct Page)","18","Medium","var_0010","graphics_engine_historical.asm:lda $001030; graphics_engine_historical.asm:lda $0010; graphics_engine.asm:lda $001030"
"$0002","WRAM","Zero Page (Direct Page)","14","Medium","var_0002","graphics_engine_historical.asm:sta $0002; graphics_engine_historical.asm:sta $0002; graphics_engine.asm:sta $0002"
"$0E89","WRAM","WRAM (Low)","12","Medium","wram_0e89","graphics_engine_historical.asm:ldy $0e89; graphics_engine_historical.asm:sty $0e89; graphics_engine_historical.asm:lda $0e89"
"$000C","WRAM","Zero Page (Direct Page)","10","Medium","var_000c","text_engine_historical.asm:lda $000c; text_engine_historical.asm:sta $000c; text_engine_historical.asm:sta $000c"
"$000E","WRAM","Zero Page (Direct Page)","10","Medium","var_000e","text_engine_historical.asm:lda $000e; text_engine_historical.asm:sta $000e; text_engine_historical.asm:sta $000e"
"$0008","WRAM","Zero Page (Direct Page)","10","Medium","var_0008","text_engine_historical.asm:lda $0008; text_engine_historical.asm:sta $0008; text_engine_historical.asm:sta $0008"
"$0006","WRAM","Zero Page (Direct Page)","10","Medium","var_0006","text_engine_historical.asm:lda $0006; text_engine_historical.asm:sta $0006; text_engine_historical.asm:sta $0006"
