"Bank","Address","Label","Type","DataType","EstimatedSize","Description","File"
"00","0081D5","DATA8_0081D5","DATA8","","0","","bank_00_documented.asm"
"00","0081D6","DATA8_0081D6","DATA8","","0","","bank_00_documented.asm"
"00","0081D8","DATA8_0081D8","DATA8","","0","","bank_00_documented.asm"
"00","0081D9","DATA8_0081D9","DATA8","","0","","bank_00_documented.asm"
"00","0081DB","DATA8_0081DB","DATA8","","0","","bank_00_documented.asm"
"00","0081ED","DATA8_0081ED","DATA8","","0","","bank_00_documented.asm"
"00","00822A","DATA8_00822A","DATA8","","0","","bank_00_documented.asm"
"00","00822D","DATA8_00822D","DATA8","","0","","bank_00_documented.asm"
"00","008252","DATA8_008252","DATA8","","0","","bank_00_documented.asm"
"00","008334","DATA8_008334","DATA8","","0","","bank_00_documented.asm"
"00","008960","DATA8_008960","DATA8","","0","","bank_00_documented.asm"
"00","008961","DATA8_008961","DATA8","","0","","bank_00_documented.asm"
"00","008962","DATA8_008962","DATA8","","0","","bank_00_documented.asm"
"00","0097FB","DATA8_0097FB","DATA8","","0","","bank_00_documented.asm"
"00","009A1E","DATA8_009A1E","DATA8","","0","","bank_00_documented.asm"
"00","009C87","DATA8_009C87","DATA8","","0","","bank_00_documented.asm"
"00","009E0E","DATA8_009E0E","DATA8","","0","","bank_00_documented.asm"
"00","009E6E","DATA8_009E6E","DATA8","","0","","bank_00_documented.asm"
"00","00A2DD","DATA8_00A2DD","DATA8","","0","","bank_00_documented.asm"
"00","00A2DE","DATA8_00A2DE","DATA8","","0","","bank_00_documented.asm"
"00","00C339","DATA8_00C339","DATA8","","0","","bank_00_documented.asm"
"00","00C33A","DATA8_00C33A","DATA8","","0","","bank_00_documented.asm"
"00","00C33B","DATA8_00C33B","DATA8","","0","","bank_00_documented.asm"
"01","018000","DATA8_018000","DATA8","","0","","bank_01_documented.asm"
"01","018032","DATA8_018032","DATA8","","0","","bank_01_documented.asm"
"01","018242","DATA8_018242","DATA8","","0","","bank_01_documented.asm"
"01","0182FE","DATA8_0182FE","DATA8","","0","","bank_01_documented.asm"
"01","01832F","DATA8_01832F","DATA8","","0","","bank_01_documented.asm"
"01","018330","DATA8_018330","DATA8","","0","","bank_01_documented.asm"
"01","01835B","DATA8_01835B","DATA8","","0","","bank_01_documented.asm"
"01","01839F","DATA8_01839F","DATA8","","0","","bank_01_documented.asm"
"01","0183A0","DATA8_0183A0","DATA8","","0","","bank_01_documented.asm"
"01","0183A2","DATA8_0183A2","DATA8","","0","","bank_01_documented.asm"
"01","018557","DATA8_018557","DATA8","","0","","bank_01_documented.asm"
"01","01A5E0","DATA8_01A5E0","DATA8","","0","","bank_01_documented.asm"
"01","01A5E0","DATA8_01A5E0","DATA8","","0","","bank_01_documented.asm"
"01","01A63A","DATA8_01A63A","DATA8","","0","","bank_01_documented.asm"
"01","01A63A","DATA8_01A63A","DATA8","","0","","bank_01_documented.asm"
"01","01A63C","DATA8_01A63C","DATA8","","0","","bank_01_documented.asm"
"01","01A63C","DATA8_01A63C","DATA8","","0","","bank_01_documented.asm"
