Enemy_ID,Enemy_Name,Silence,Blind,Poison,Confusion,Sleep,Paralysis,Stone,Doom,Projectile,Bomb,Axe,Zombie,Air,Fire,Water,Earth
0,Enemy_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Enemy_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Enemy_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Enemy_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Enemy_4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,Enemy_5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,Enemy_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Enemy_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Enemy_8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
9,Enemy_9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Enemy_10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Enemy_11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12,Enemy_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Enemy_13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14,Enemy_14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
15,Enemy_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Enemy_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Enemy_17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Enemy_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Enemy_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Enemy_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Enemy_21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Enemy_22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Enemy_23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Enemy_24,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
25,Enemy_25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
26,Enemy_26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
27,Enemy_27,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
28,Enemy_28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,Enemy_29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30,Enemy_30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31,Enemy_31,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
32,Enemy_32,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33,Enemy_33,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
